identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3688:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3689:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3691:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3695:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3696:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3697:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3698:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3699:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3700:21	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3701:51	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3701:72	generator_specific	1	0	1	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3704:22	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3709:23	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3712:23	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3715:23	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3718:23	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3721:23	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3724:23	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3727:24	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3728:134	generator_specific	1	0	1	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3728:93	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3734:80	generator_specific	1	0	1	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3737:40	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3738:63	generator_specific	1	0	1	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3741:28	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3745:29	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3747:29	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3749:29	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3751:29	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3752:64	generator_specific	1	0	1	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3754:36	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3759:30	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3760:30	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3765:28	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3771:36	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3774:36	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3776:30	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3780:30	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3781:30	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3791:36	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3793:30	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3795:36	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3797:30	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3801:30	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3802:30	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3807:28	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/depthwise_separable_conv/depthwise_separable_conv.halide_generated.cpp:3813:36	generator_specific	1	1	0	_ZL48depthwise_separable_conv_par_for_output_s0_y_y_bPviPh	
