identifier	region	points	kept_points	filtered_points	functions	filtered_by
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3591:24	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3593:24	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3594:98	generator_specific	1	0	1	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	junk
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3600:26	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3604:26	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3605:26	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3609:26	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3610:26	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3614:26	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
cxx_add_to_sub:/tmp/claude-1000/-home-ardi-project-dsl-mutants-halide/79c69961-ec65-41df-a717-1c36536a2c1f/scratchpad/src14/conv_layer/conv_layer.halide_generated.cpp:3615:26	generator_specific	1	1	0	_ZL67conv_layer_par_for_relu_s0_c_v3_par_for_relu_s0_n_par_for_relu_s0_yPviPh	
